Play ID,Quarter,Down,Clock,Distance,DL1,DL2,DL3,DL4,DL5,DL6
3053251,1,1,12:50,10,16,22,29,,,
3053260,1,2,12:27,10,10,22,,,,
3053265,1,1,12:06,10,17,25,,,,
3053274,1,1,11:48,10,19,25,,,,
3053280,1,1,11:39,5,15,22,,,,
3053383,1,1,08:49,10,13,21,27,33,,
3053389,1,2,08:43,10,15,22,29,,,
3053405,1,3,08:07,8,15,22,,,,
3053517,1,1,05:12,10,21,25,,,,
3053537,1,2,04:42,7,16,25,,,,
3053543,1,1,04:18,10,19,25,,,,
3053549,1,2,03:41,11,16,23,,,,
3053556,1,3,03:09,7,9,28,,,,
3053569,1,4,02:39,5,19,27,,,,
3053611,1,1,01:21,10,15,22,29,,,
3053618,1,2,01:14,10,15,23,,,,
3053629,1,3,01:07,10,16,27,35,,,
3053784,2,1,13:20,10,19,28,,,,
3053797,2,2,12:53,5,16,25,,,,
3053805,2,2,12:44,10,18,25,,,,
3053817,2,3,12:10,6,16,35,,,,
3053875,2,1,11:05,10,15,22,28,,,
3053885,2,2,10:58,10,19,27,,,,
3053901,2,3,10:40,1,19,28,,,,
3053981,2,1,08:45,10,15,22,30,,,
3054013,2,2,08:14,5,16,24,34,,,
3054026,2,1,07:59,10,19,25,,,,
3054036,2,1,07:53,5,18,25,,,,
3054048,2,1,07:12,10,19,22,29,,,
3054066,2,1,06:55,10,19,28,36,,,
3054071,2,2,06:48,10,16,22,,,,
3054087,2,3,06:11,6,16,28,34,,,
3054334,2,1,04:13,10,15,22,29,,,
3054341,2,2,03:40,5,19,23,,,,
3054352,2,1,03:18,10,15,22,29,,,
3054363,2,2,02:46,9,19,23,28,,,
3054378,2,2,02:40,4,18,25,,,,
3054391,2,3,02:01,2,15,22,29,,,
3054524,2,1,00:06,10,15,22,29,,,
3054724,3,1,14:54,10,19,25,,,,
3054734,3,2,14:25,8,21,25,,,,
3054745,3,3,13:52,14,17,19,,,,
3054770,3,1,13:42,10,19,27,,,,
3054782,3,2,13:35,10,17,25,,,,
3054792,3,3,13:09,9,9,22,,,,
3055021,3,1,08:14,10,17,25,,,,
3055033,3,0,08:03,0,19,28,,,,
3055176,3,1,06:14,10,19,25,,,,
3055183,3,2,05:51,10,17,23,,,,
3055200,3,1,05:31,10,19,25,,,,
3055212,3,1,05:09,10,15,22,,,,
3055223,3,2,05:02,10,19,27,,,,
3055241,3,1,04:57,10,9,20,24,,,
3055402,3,1,02:04,10,17,25,34,,,
3055416,3,2,01:42,6,19,26,33,,,
3055433,3,1,01:24,10,16,22,,,,
3055442,3,2,01:19,10,24,28,,,,
3055806,4,1,13:10,10,19,23,,,,
3055829,4,2,12:37,5,16,25,,,,
3055837,4,1,12:19,10,21,28,,,,
3055845,4,2,11:49,7,19,23,,,,
3055852,4,1,11:30,10,17,35,,,,
3055864,4,2,11:25,10,18,25,,,,
3055875,4,3,11:01,3,16,25,,,,
